timestamp,time,force,position,strain
00:07:34.210,454.21,407,14466,19.1176470588235
00:07:34.421,454.421,407,14466,19.1176470588235
00:07:34.468,454.468,408,14466,19.1176470588235
00:07:34.679,454.679,407,14466,19.1176470588235
00:07:34.726,454.726,407,14466,19.1176470588235
00:07:34.918,454.918,407,14466,19.1176470588235
00:07:34.957,454.957,407,14466,19.1176470588235
00:07:35.176,455.176,406,14466,19.1176470588235
00:07:35.222,455.222,407,14466,19.1176470588235
00:07:35.447,455.447,407,14466,19.1176470588235
00:07:35.493,455.493,407,14466,19.1176470588235
00:07:35.711,455.711,407,14466,19.1176470588235
00:07:35.751,455.751,407,14466,19.1176470588235
00:07:35.943,455.943,407,14466,19.1176470588235
00:07:35.989,455.989,407,14466,19.1176470588235
00:07:36.188,456.188,407,14466,19.1176470588235
00:07:36.227,456.227,407,14466,19.1176470588235
00:07:36.426,456.426,407,14466,19.1176470588235
00:07:36.465,456.465,408,14466,19.1176470588235
00:07:36.671,456.671,407,14466,19.1176470588235
00:07:36.710,456.71,407,14466,19.1176470588235
00:07:36.902,456.902,407,14466,19.1176470588235
00:07:36.942,456.942,407,14466,19.1176470588235
00:07:37.134,457.134,407,14466,19.1176470588235
00:07:37.173,457.173,407,14466,19.1176470588235
00:07:37.365,457.365,406,14466,19.1176470588235
00:07:37.411,457.411,407,14466,19.1176470588235
00:07:37.603,457.603,407,14466,19.1176470588235
00:07:37.643,457.643,406,14466,19.1176470588235
00:07:37.835,457.835,406,14466,19.1176470588235
00:07:37.875,457.875,407,14466,19.1176470588235
00:07:38.080,458.08,407,14466,19.1176470588235
00:07:38.126,458.126,407,14466,19.1176470588235
00:07:38.331,458.331,408,14466,19.4852941176471
00:07:38.371,458.371,408,14466,19.4852941176471
00:07:38.562,458.562,407,14466,19.1176470588235
00:07:38.602,458.602,406,14466,19.1176470588235
00:07:38.794,458.794,407,14466,19.1176470588235
00:07:38.834,458.834,407,14466,19.1176470588235
00:07:39.026,459.026,407,14466,19.4852941176471
00:07:39.072,459.072,407,14466,19.4852941176471
00:07:39.270,459.27,407,14466,19.1176470588235
00:07:39.310,459.31,407,14466,19.1176470588235
00:07:39.502,459.502,407,14466,19.1176470588235
00:07:39.548,459.548,408,14466,19.1176470588235
00:07:39.766,459.766,407,14466,19.4852941176471
00:07:39.806,459.806,407,14466,19.4852941176471
00:07:40.011,460.011,407,14466,19.4852941176471
00:07:40.057,460.057,407,14466,19.4852941176471
00:07:40.256,460.256,407,14466,19.1176470588235
00:07:40.302,460.302,407,14466,19.1176470588235
00:07:40.501,460.501,407,14466,19.1176470588235
00:07:40.547,460.547,407,14466,19.1176470588235
00:07:40.745,460.745,407,14466,19.1176470588235
00:07:40.785,460.785,407,14466,19.1176470588235
00:07:40.990,460.99,406,14466,19.1176470588235
00:07:41.030,461.03,406,14466,19.1176470588235
00:07:41.222,461.222,407,14466,19.4852941176471
00:07:41.268,461.268,407,14466,19.4852941176471
00:07:41.486,461.486,408,14466,19.4852941176471
00:07:41.533,461.533,408,14466,19.4852941176471
00:07:41.744,461.744,407,14466,19.4852941176471
00:07:41.791,461.791,407,14466,19.4852941176471
00:07:41.989,461.989,407,14466,19.4852941176471
00:07:42.035,462.035,407,14466,19.4852941176471
00:07:42.227,462.227,406,14466,19.4852941176471
00:07:42.267,462.267,407,14466,19.4852941176471
00:07:42.465,462.465,407,14466,19.4852941176471
00:07:42.512,462.512,407,14466,19.4852941176471
00:07:42.730,462.73,407,14466,19.4852941176471
00:07:42.776,462.776,407,14466,19.4852941176471
00:07:42.968,462.968,406,14466,19.4852941176471
00:07:43.015,463.015,407,14466,19.4852941176471
00:07:43.206,463.206,407,14466,19.4852941176471
00:07:43.246,463.246,407,14466,19.4852941176471
00:07:43.445,463.445,406,14466,19.4852941176471
00:07:43.484,463.484,407,14466,19.4852941176471
00:07:43.683,463.683,407,14466,19.4852941176471
00:07:43.729,463.729,407,14466,19.4852941176471
00:07:43.960,463.96,407,14466,19.1176470588235
00:07:44.007,464.007,407,14466,19.1176470588235
00:07:44.219,464.219,407,14466,19.4852941176471
00:07:44.258,464.258,407,14466,19.4852941176471
00:07:44.463,464.463,407,14466,19.4852941176471
00:07:44.510,464.51,407,14466,19.4852941176471
00:07:44.701,464.701,407,14466,19.4852941176471
