timestamp,time (s),force,position,strain
00:06:06.037,366.037,519,1961,26.778242677824267
00:06:06.288,366.288,519,1961,26.778242677824267
00:06:06.533,366.533,519,1961,26.778242677824267
00:06:06.784,366.784,518,1961,26.778242677824267
00:06:07.036,367.036,519,1961,26.359832635983267
00:06:07.287,367.287,518,1961,26.359832635983267
00:06:07.539,367.539,518,1961,26.359832635983267
00:06:07.783,367.783,518,1961,26.359832635983267
00:06:08.035,368.035,518,1961,26.778242677824267
00:06:08.286,368.286,519,1961,26.359832635983267
00:06:08.544,368.544,519,1961,26.359832635983267
00:06:08.796,368.796,519,1961,26.359832635983267
00:06:09.041,369.041,518,1961,26.359832635983267
00:06:09.305,369.305,518,1961,26.778242677824267
00:06:09.557,369.557,519,1961,26.359832635983267
00:06:09.808,369.808,518,1961,26.359832635983267
00:06:10.053,370.053,519,1961,26.359832635983267
00:06:10.304,370.304,519,1961,26.359832635983267
00:06:10.549,370.549,518,1961,26.359832635983267
00:06:10.801,370.801,518,1961,26.359832635983267
00:06:11.052,371.052,519,1961,26.359832635983267
00:06:11.297,371.297,518,1961,26.359832635983267
00:06:11.548,371.548,519,1961,26.359832635983267
00:06:11.793,371.793,519,1961,26.359832635983267
00:06:12.044,372.044,519,1961,26.359832635983267
00:06:12.296,372.296,519,1961,26.359832635983267
00:06:12.547,372.547,518,1961,26.778242677824267
00:06:12.799,372.799,519,1961,26.359832635983267
00:06:13.050,373.05,518,1961,26.359832635983267
00:06:13.295,373.295,519,1961,26.778242677824267
00:06:13.546,373.546,519,1961,26.359832635983267
00:06:13.798,373.798,519,1961,26.778242677824267
00:06:14.056,374.056,519,1961,26.359832635983267
00:06:14.307,374.307,518,1961,26.359832635983267
00:06:14.559,374.559,518,1961,26.359832635983267
00:06:14.817,374.817,518,1961,26.359832635983267
00:06:15.075,375.075,519,1961,26.359832635983267
00:06:15.333,375.333,519,1961,26.359832635983267
00:06:15.591,375.591,519,1961,26.778242677824267
00:06:15.849,375.849,519,1961,26.778242677824267
00:06:16.100,376.1,519,1961,26.778242677824267
00:06:16.358,376.358,518,1961,26.778242677824267
00:06:16.616,376.616,519,1961,26.778242677824267
00:06:16.875,376.875,519,1961,26.778242677824267
00:06:17.133,377.133,519,1961,27.196652719665266
00:06:17.384,377.384,519,1961,26.778242677824267
00:06:17.642,377.642,519,1961,26.778242677824267
00:06:17.900,377.9,518,1961,26.778242677824267
00:06:18.158,378.158,519,1961,26.778242677824267
00:06:18.416,378.416,518,1961,26.778242677824267
00:06:18.668,378.668,518,1961,26.778242677824267
00:06:18.926,378.926,518,1961,26.778242677824267
00:06:19.184,379.184,519,1961,26.778242677824267
00:06:19.442,379.442,519,1961,26.778242677824267
00:06:19.700,379.7,519,1961,26.778242677824267
00:06:19.951,379.951,518,1961,26.778242677824267
00:06:20.196,380.196,519,1961,26.778242677824267
00:06:20.454,380.454,519,1961,26.778242677824267
00:06:20.712,380.712,519,1961,26.778242677824267
00:06:20.963,380.963,519,1961,26.778242677824267
00:06:21.215,381.215,519,1961,26.778242677824267
00:06:21.466,381.466,518,1961,26.778242677824267
00:06:21.711,381.711,519,1961,26.778242677824267
00:06:21.956,381.956,519,1961,26.778242677824267
00:06:22.207,382.207,519,1961,26.778242677824267
00:06:22.465,382.465,519,1961,26.778242677824267
